Arquivo,Linha,String em Inglês,Tradução Proposta,Contexto,Tipo,Prioridade
CaseOverviewPage.tsx,332,Copy link to Documents section,Copiar link para seção Documentos,Aria Label,Aria Label,LOW
CaseOverviewPage.tsx,350,Archive Case / Unarchive Case,Arquivar Caso / Desarquivar Caso,Dialog Title,Dialog Title,MEDIUM
CaseOverviewPage.tsx,364,Cancel,Cancelar,Button,Button,HIGH
PurchaseSaleFlowPage.tsx,115,Titulo do Caso *,Título do Caso *,Field Label,Label,PT-MISTO
PurchaseSaleFlowPage.tsx,128,Escolha um titulo descritivo para identificar este caso,Escolha um título descritivo para identificar este caso,Help Text,Description,PT-MISTO
PurchaseSaleFlowPage.tsx,169,Caso criado com sucesso!,Caso criado com sucesso!,Success Message,Success,PT-OK
PurchaseSaleFlowPage.tsx,185,Criando Caso... / Criar Caso,Criando Caso... / Criar Caso,Button Text,Button,PT-OK
PurchaseSaleFlowPage.tsx,225,Documentos Carregados,Documentos Carregados,Section Title,Label,PT-OK
PurchaseSaleFlowPage.tsx,287,Documentos recomendados para Compra e Venda:,Documentos recomendados para Compra e Venda:,Info Box Title,Label,PT-OK
PurchaseSaleFlowPage.tsx,329,Extraindo entidades dos documentos...,Extraindo entidades dos documentos...,Status Message,Status,PT-OK
PurchaseSaleFlowPage.tsx,353,Pronto para iniciar a extracao,Pronto para iniciar a extração,Message,Message,PT-TYPO
PurchaseSaleFlowPage.tsx,360,Iniciar Extracao,Iniciar Extração,Button,Button,PT-TYPO
PurchaseSaleFlowPage.tsx,393,Pessoas,Pessoas,Section Title,Heading,PT-OK
PurchaseSaleFlowPage.tsx,422,Imoveis,Imóveis,Section Title,Heading,PT-TYPO
PurchaseSaleFlowPage.tsx,487,Pessoas,Pessoas,Summary Label,Label,PT-OK
PurchaseSaleFlowPage.tsx,497,Imoveis,Imóveis,Summary Label,Label,PT-TYPO
PurchaseSaleFlowPage.tsx,507,Relacionamentos,Relacionamentos,Summary Label,Label,PT-OK
PurchaseSaleFlowPage.tsx,542,Abrir Canvas Completo,Abrir Canvas Completo,Button,Button,PT-OK
PurchaseSaleFlowPage.tsx,620,Gerando minuta do documento...,Gerando minuta do documento...,Status Message,Status,PT-OK
PurchaseSaleFlowPage.tsx,644,Pronto para gerar a minuta,Pronto para gerar a minuta,Message,Message,PT-OK
PurchaseSaleFlowPage.tsx,651,Gerar Minuta,Gerar Minuta,Button,Button,PT-OK
PurchaseSaleFlowPage.tsx,661,Minuta gerada com sucesso!,Minuta gerada com sucesso!,Success Title,Success,PT-OK
PurchaseSaleFlowPage.tsx,787,Fluxo Concluido!,Fluxo Concluído!,Completion Title,Heading,PT-TYPO
PurchaseSaleFlowPage.tsx,801,Voltar ao Dashboard,Voltar ao Dashboard,Button,Button,PT-OK
PurchaseSaleFlowPage.tsx,808,Ver Minuta,Ver Minuta,Button,Button,PT-OK
PurchaseSaleFlowPage.tsx,1002,Fluxo de Compra e Venda,Fluxo de Compra e Venda,Page Title,Title,PT-OK
PurchaseSaleFlowPage.tsx,1015,Cancelar,Cancelar,Button,Button,PT-OK
PurchaseSaleFlowPage.tsx,1075,Cancelar Fluxo?,Cancelar Fluxo?,Dialog Title,Dialog Title,PT-OK
PurchaseSaleFlowPage.tsx,1092,Cancelar Fluxo,Cancelar Fluxo,Button,Button,PT-OK
EntitiesPage.tsx,344,Entidades Extraidas,Entidades Extraídas,Page Title,Title,PT-TYPO
EntitiesPage.tsx,347,Visualize e gerencie as entidades extraidas dos documentos usando IA.,Visualize e gerencie as entidades extraídas dos documentos usando IA.,Subtitle,Description,PT-TYPO
EntitiesPage.tsx,359,Atualizar,Atualizar,Button,Button,PT-OK
EntitiesPage.tsx,368,Criar Pessoa,Criar Pessoa,Button,Button,PT-OK
EntitiesPage.tsx,377,Criar Imóvel,Criar Imóvel,Button,Button,PT-OK
EntitiesPage.tsx,394,Extrair Entidades,Extrair Entidades,Button,Button,PT-OK
EntitiesPage.tsx,430,Filtrar por Documento,Filtrar por Documento,Section Title,Heading,PT-OK
EntitiesPage.tsx,513,Nenhum documento encontrado,Nenhum documento encontrado,Empty State Title,Heading,PT-OK
EntitiesPage.tsx,516,Faca upload de documentos primeiro para extrair entidades.,Faça upload de documentos primeiro para extrair entidades.,Empty State Description,Description,PT-TYPO
EntitiesPage.tsx,520,Ir para Upload,Ir para Upload,Link,Link,PT-OK
EntitiesPage.tsx,543,Documentos Disponiveis,Documentos Disponíveis,Card Title,Card Title,PT-TYPO
EntitiesPage.tsx,545,Clique em um documento para extrair entidades individualmente.,Clique em um documento para extrair entidades individualmente.,Card Description,Card Description,PT-OK
ForgotPasswordPage.tsx,54,Minuta Canvas,Minuta Canvas,Application Title,Title,KEEP
ForgotPasswordPage.tsx,57,Document Processing & Draft Generation,Processamento de Documentos e Geração de Minutas,Subtitle,Subtitle,HIGH
ForgotPasswordPage.tsx,62,Check your email,Verifique seu email,Success Title,Heading,HIGH
ForgotPasswordPage.tsx,65,We've sent a password reset link to,Enviamos um link de redefinição de senha para,Message,Message,HIGH
ForgotPasswordPage.tsx,68,Click the link in the email to reset your password. If you don't see it, check your spam folder.,Clique no link no email para redefinir sua senha. Se você não o vir, verifique sua pasta de spam.,Help Text,Help Text,HIGH
ForgotPasswordPage.tsx,76,Back to login,Voltar para login,Link,Link,MEDIUM
ForgotPasswordPage.tsx,105,Reset your password,Redefinir sua senha,Card Title,Card Title,HIGH
ForgotPasswordPage.tsx,107,Enter your email address and we'll send you a link to reset your password.,Digite seu endereço de email e enviaremos um link para redefinir sua senha.,Help Text,Help Text,HIGH
ForgotPasswordPage.tsx,120,Email,Email,Field Label,Label,HIGH
ForgotPasswordPage.tsx,130,email@example.com,email@example.com,Placeholder,Placeholder,KEEP
ForgotPasswordPage.tsx,160,Sending reset link...,Enviando link de redefinição...,Button Text,Button Text,MEDIUM
ForgotPasswordPage.tsx,163,Send reset link,Enviar link de redefinição,Button Text,Button Text,HIGH
ResetPasswordPage.tsx,27,Invalid or expired reset link. Please request a new password reset.,Link inválido ou expirado. Por favor, solicite uma nova redefinição de senha.,Error Message,Error Message,MEDIUM
ResetPasswordPage.tsx,38,Passwords do not match,As senhas não correspondem,Validation Error,Error Message,MEDIUM
ResetPasswordPage.tsx,44,Password must be at least 6 characters long,A senha deve ter pelo menos 6 caracteres,Validation Error,Error Message,MEDIUM
ResetPasswordPage.tsx,81,Minuta Canvas,Minuta Canvas,Application Title,Title,KEEP
ResetPasswordPage.tsx,84,Document Processing & Draft Generation,Processamento de Documentos e Geração de Minutas,Subtitle,Subtitle,HIGH
ResetPasswordPage.tsx,95,Password reset successful,Senha redefinida com sucesso,Success Title,Heading,HIGH
ResetPasswordPage.tsx,98,Your password has been successfully reset.,Sua senha foi redefinida com sucesso.,Success Message,Message,MEDIUM
ResetPasswordPage.tsx,101,Redirecting to login page...,Redirecionando para página de login...,Status Message,Message,MEDIUM
ResetPasswordPage.tsx,129,Set new password,Definir nova senha,Card Title,Card Title,HIGH
ResetPasswordPage.tsx,131,Enter your new password below.,Digite sua nova senha abaixo.,Help Text,Help Text,MEDIUM
ResetPasswordPage.tsx,152,New Password,Nova Senha,Field Label,Label,HIGH
ResetPasswordPage.tsx,163,********,••••••••,Placeholder,Placeholder,KEEP
ResetPasswordPage.tsx,166,Must be at least 6 characters long,Deve ter pelo menos 6 caracteres,Help Text,Help Text,MEDIUM
ResetPasswordPage.tsx,172,Confirm New Password,Confirme a Nova Senha,Field Label,Label,HIGH
ResetPasswordPage.tsx,184,********,••••••••,Placeholder,Placeholder,KEEP
ResetPasswordPage.tsx,213,Resetting password...,Redefinindo senha...,Button Text,Button Text,MEDIUM
ResetPasswordPage.tsx,216,Reset password,Redefinir senha,Button Text,Button Text,HIGH
DraftPage.tsx,100,Erro ao verificar minuta existente,Erro ao verificar minuta existente,Error Message,Error Message,PT-OK
